['Ponedjeljak, 29.5.2023.', 'I-BP']
['Utorak, 30.5.2023.', 'I-BP']
['Srijeda, 31.5.2023.', 'I-BP']
['Cetvrtak, 1.6.2023.', 'I-BP']
['Petak, 2.6.2023.', 'I-BP']
['Subota, 3.6.2023.', 'Ob']
['Nedjelja, 4.6.2023.', 'Ob']
['Ponedjeljak, 29.5.2023.', 'I-BP']
['Utorak, 30.5.2023.', 'I-BP']
['Srijeda, 31.5.2023.', 'I-BP']
['Cetvrtak, 1.6.2023.', 'I-BP']
['Petak, 2.6.2023.', 'I-BP']
['Subota, 3.6.2023.', 'Ob']
['Nedjelja, 4.6.2023.', 'Ob']
['Ponedjeljak, 29.5.2023.', 'I-BP']
['Utorak, 30.5.2023.', 'I-BP']
['Srijeda, 31.5.2023.', 'I-BP']
['Cetvrtak, 1.6.2023.', 'I-BP']
['Petak, 2.6.2023.', 'I-BP']
['Subota, 3.6.2023.', 'Ob']
['Nedjelja, 4.6.2023.', 'Ob']
['Ponedjeljak, 29.5.2023.', 'I-BP']
['Utorak, 30.5.2023.', 'I-BP']
['Srijeda, 31.5.2023.', 'I-BP']
['Cetvrtak, 1.6.2023.', 'I-BP']
['Petak, 2.6.2023.', 'I-BP']
['Subota, 3.6.2023.', 'Ob']
['Nedjelja, 4.6.2023.', 'Ob']
