['00641', '491', '342', '377', 'O', '377', '375', 'O']
['02161', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['00671', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02162', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['00682', '95', '95', '95', '95', '97', 'O', 'O']
['02163', '644', '870', '397', '397', '711', 'O', '644']
['00817', '446', '446', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02165', '674', '708', '770', '870', '788', 'O', '692']
['00828', 'O', '680', '692', '912', '913', '692', 'O']
['02166', '342', '407', '471', '470', 'O', '395', '343']
['00860', '109', '109', '109', '109', '52', 'O', 'O']
['02167', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['00900', '96', '98', '94', '146', '94', '95', 'O']
['02170', '41', '100', '265', '111', '71', 'O', 'O']
['01085', '45', '45', '52', '139', '70', '440', 'O']
['02171', '90', '47', '142', '74', '140', 'Oz', '172']
['01916', '708', '671', '742', 'Oz', '709', '641', 'O']
['02172', '103', '99', '48', '45', '141', 'O', 'O']
['02100', '740', '647', '694', '740', '740', 'O', 'O']
['02173', '743', '785', '345', '641', '698', '697', 'O']
['02101', '471', '374', '174', 'Oz', '446', '389', '393']
['02176', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02102', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02178', '111', '174', '191', '103', 'O', 'O', '91']
['02103', '107', '42', '72', '177', 'O', '186', '170']
['02182', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02109', 'O', '669', '870', '742', '641', 'O', 'O']
['02183', 'O', '376', '404', '373', '404', 'O', 'O']
['02110', '400', '444', 'O', 'Oz', '444', '392', '485']
['02186', '696', '696', 'Oz', '778', '650', '649', '646']
['02114', '205', '206', '205', '205', 'O', '205', '205']
['02188', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02116', '701', 'O', '650', '693', '785', '645', '870']
['02191', '170', '97', '141', '143', '143', 'O', '505']
['02117', '693', '709', '674', 'O', '742', '790', '643']
['02192', '694', '439', 'Oz', 'Oz', '794', '695', '648']
['02118', '383', '472', '143', '671', '669', 'O', '912']
['02193', '439', '399', '373', '348', '490', '393', 'O']
['02119', '146', 'Oz', 'Oz', '144', '146', '40', '74']
['02196', '46', 'Oz', '176', '78', '139', '73', 'Oz']
['02121', '870', '694', '740', '788', '474', 'O', 'O']
['02197', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02122', '370', '345', 'O', '399', '477', '377', '438']
['02199', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02126', 'O', 'O', '351', '351', '439', '472', '787']
['02201', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02130', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02202', '70', '78', '90', '377', '376', 'O', 'O']
['02132', '390', 'O', '440', '495', '347', 'O', 'O']
['02203', '91', '492', '470', '472', 'O', '48', '191']
['02134', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02204', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02138', '407', '408', '407', '407', '407', 'O', 'O']
['02207', '194', '194', '194', '194', '194', 'O', 'O']
['02141', '440', '487', '411', 'O', 'O', 'O', 'O']
['02208', 'O', '52', '102', '41', '98', '190', '42']
['02143', '695', '794', '743', '650', '793', 'O', 'O']
['02210', '42', '104', '69', '92', '192', 'Oz', '69']
['02149', '788', 'Oz', '695', '441', 'Oz', 'Oz', 'Oz']
['02211', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02151', '402', '382', 'O', '347', '489', '345', '374']
['02212', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02154', '772', '772', '772', '772', '772', 'O', '773']
['02213', '496', '496', 'O', '369', '475', '349', 'O']
['02157', '379', '379', '379', '379', '379', 'O', 'O']
['02215', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02158', '195', '142', 'O', '93', '108', '71', 'O']
['02217', '487', '377', '97', 'O', '373', '493', '371']
['02159', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02218', '69', '195', '40', '94', '173', '177', 'O']
['02219', '44', '189', '140', '52', '104', 'O', 'O']
['02383', '83', '70', 'O', 'O', '42', '93', '176']
['02222', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02388', '805', '805', 'O', '689', '689', '691', '695']
['02223', '703', '746', '641', '746', 'I-GO', 'Og', 'Og']
['02391', '408', '409', '409', '409', '409', 'O', 'O']
['02224', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02396', 'O', '90', '92', '192', '90', '92', '43']
['02225', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02403', '401', '401', '401', '401', '401', 'O', 'O']
['02226', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['02405', '49', '139', '350', 'O', '344', '188', 'O']
['02230', '52', 'O', '475', '72', '99', 'O', 'O']
['02406', 'O', 'O', '393', '389', '393', '396', 'O']
['02231', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02407', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02232', 'O', '73', '99', '190', '48', 'O', 'O']
['02411', 'O', '644', '785', '708', '642', '696', '670']
['02233', 'O', '689', '793', '743', 'I-GO', 'Og', 'Og']
['02414', '81', '81', '101', '193', '101', '78', 'O']
['02235', '97', '141', 'Oz', 'Oz', '177', '479', 'O']
['02426', '371', 'O', '371', '371', '371', 'O', 'O']
['02237', '348', '397', 'Oz', '350', '348', '441', '488']
['02429', '711', '711', '711', '711', '708', 'O', 'O']
['02241', '640', '693', '787', '375', 'Oz', 'Oz', '640']
['02434', '108', '108', '196', '195', '107', '94', 'O']
['02244', '185', '41', 'O', '102', '111', '75', '76']
['02437', '344', 'O', 'O', '80', '342', '172', '77']
['02246', 'I-GO', 'I-GO', 'I-GO', '693', '785', '645', '693']
['02441', '206', '205', '206', '206', 'O', '206', '206']
['02247', '140', '191', '80', 'O', '46', '49', '185']
['02449', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02248', '71', '102', '44', '49', '43', '72', 'O']
['02450', 'O', '96', '91', 'Oz', 'Oz', 'Oz', '89']
['02249', '186', '186', '186', '186', '186', 'O', 'O']
['02455', 'O', '178', '82', '43', '144', 'O', 'O']
['02250', '176', 'O', '47', '90', '191', 'O', 'O']
['02457', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02252', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02462', '786', 'O', '399', '695', '744', 'O', 'O']
['02253', '144', '103', 'O', '69', '193', '96', '190']
['02466', '374', '411', '491', '393', '402', 'O', '395']
['02322', '47', '107', '107', '142', '206', 'O', '40']
['02470', 'Oz', 'Oz', '505', '505', '505', '505', 'O']
['02326', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02472', '178', 'O', '190', '101', '74', '170', '188']
['02328', '373', '402', '382', '382', '491', 'O', 'O']
['02473', 'O', '791', '378', '701', '647', '671', '770']
['02329', '442', '347', '396', '487', 'O', 'O', '346']
['02477', '689', '788', '693', '370', 'O', 'O', 'O']
['02334', '399', '390', 'O', '376', '471', '350', 'O']
['02484', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02335', '707', '786', '698', '647', 'O', 'O', '690']
['02486', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02337', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02488', '110', 'O', '70', '48', '72', '43', '174']
['02350', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02490', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02354', '143', '83', '110', '178', '350', '141', 'O']
['02493', '104', '72', '42', 'Oz', 'I-GO', 'Og', 'Og']
['02363', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02494', '393', '394', 'O', '394', '394', 'O', '392']
['02367', '506', 'O', '506', '506', '506', 'O', 'O']
['02497', '389', '389', '389', '400', 'O', '391', '389']
['02368', 'O', '787', '746', '640', '786', '646', 'O']
['02500', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02371', '93', '93', '93', 'O', '93', '90', '92']
