['00641', '377', '377', '377', '377', '377', 'Oz', 'Oz']
['02161', '185', 'Oz', '265', '189', '189', '188', 'O']
['00671', 'Oz', 'Oz', '400', '693', '643', '690', 'O']
['02162', '648', '675', '710', '770', '787', 'Oz', 'Oz']
['00682', 'O', '440', '440', '340', '567', '439', 'O']
['02163', 'Oz', 'Oz', 'Oz', '870', '709', 'O', '473']
['00817', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02165', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['00828', 'O', '708', '690', '709', '692', '732', '696']
['02166', '477', '394', '342', '346', '474', 'O', 'O']
['00860', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02167', '776', '695', '785', '698', 'O', 'O', '646']
['00900', '96', '46', '95', '47', '99', 'O', 'O']
['02170', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['01085', 'I-DK', 'I-DK', '270', '97', '100', '177', 'O']
['02171', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['01916', '342', '647', '669', '647', '673', '771', 'O']
['02172', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02100', '789', 'O', 'O', '773', '572', '671', '786']
['02173', 'O', 'O', '691', '787', 'O', '398', '736']
['02101', 'Oz', '344', '489', '432', '430', '372', 'O']
['02176', '430', '432', '369', 'O', '490', '485', 'O']
['02102', '265', '96', '96', 'O', 'O', '78', '188']
['02178', '40', '108', '99', '48', '73', 'O', '174']
['02103', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02182', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02109', '677', 'O', '647', '677', '676', '776', '645']
['02183', '397', '437', '437', '486', '350', 'O', 'O']
['02110', '437', '341', '478', '347', '437', '342', 'O']
['02186', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02114', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02188', '870', '696', 'Oz', 'Oz', '691', '647', '695']
['02116', '370', 'O', '673', '776', '669', '775', '670']
['02191', 'O', '50', '186', '131', 'O', 'O', '691']
['02117', '693', '707', '486', 'O', 'O', '869', '647']
['02192', '695', 'O', 'O', '785', '789', '640', 'O']
['02118', '673', '776', '646', '676', 'O', 'O', '674']
['02193', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02119', '140', '140', '140', '140', 'O', 'O', 'O']
['02196', 'Oz', '143', '48', '93', '143', 'Oz', '74']
['02121', '675', '646', '708', 'O', '675', '770', '669']
['02197', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02122', '572', '400', '350', '692', 'O', 'O', '675']
['02199', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02126', '431', '435', '435', '477', '435', 'O', '641']
['02201', '690', 'O', 'O', 'O', '770', '695', '644']
['02130', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02202', '407', '392', '393', '487', '398', '476', 'O']
['02132', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02203', 'I-GO', 'I-GO', '41', '107', 'O', 'O', '48']
['02134', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02204', '410', '374', '475', '393', 'O', 'O', '348']
['02138', '567', '489', 'O', '489', '489', '487', 'O']
['02207', '90', '90', '90', '90', '90', 'O', 'O']
['02141', '394', 'O', '471', '430', '394', 'O', 'O']
['02208', 'Oz', '265', '71', '41', '109', '171', '136']
['02143', 'O', '689', '707', '640', 'O', 'O', '774']
['02210', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02149', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02211', '679', '641', 'Oz', 'Oz', '640', '571', '775']
['02151', '409', '371', '473', '373', '485', 'O', '474']
['02212', '70', 'O', '72', '192', '188', 'O', '371']
['02154', '772', '772', '772', '772', '772', 'Oz', 'Oz']
['02213', '438', '471', '378', '398', '378', '489', 'O']
['02157', '375', '375', '375', '375', '375', 'Oz', 'Oz']
['02215', '644', '791', 'O', '673', '776', 'O', '772']
['02158', '189', '190', '191', '98', '187', 'O', 'O']
['02217', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02159', '191', '176', 'O', 'O', '70', '44', '186']
['02218', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02219', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02380', '44', '188', '178', '188', '43', 'O', '44']
['02221', '274', '274', '274', '274', '274', 'O', 'O']
['02383', '177', '186', '42', '70', '270', '70', 'O']
['02222', '75', '189', '75', '44', '108', 'O', '92']
