['00641', '379', '379', '379', '379', 'O', 'O', 'O']
['02158', 'I-GO', 'I-GO', 'I-GO', 'I-GO', '80', '270', '94']
['00671', '410', '705', '741', 'O', '870', '771', '643']
['02159', '105', '76', '139', '187', '176', 'O', 'O']
['00682', '100', '100', '100', '100', '100', 'O', 'O']
['02161', '176', 'O', 'O', '105', '265', '45', '43']
['00817', '347', '405', '343', '439', '493', 'O', '340']
['02162', 'Oz', 'Oz', '674', '680', '682', '472', '373']
['00828', 'O', 'O', '788', '643', '644', '678', '641']
['02163', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['00860', '109', '109', '109', 'O', 'O', '92', '265']
['02165', 'O', '141', '141', '141', '141', 'O', 'O']
['00900', '91', '99', '105', '104', '44', 'O', 'O']
['02166', '348', '348', '348', 'I-DK', 'I-DK', 'O', 'O']
['01085', '78', '51', '70', '190', 'O', 'O', '371']
['02167', 'O', '370', '474', '351', '348', 'Oz', '472']
['01916', 'O', '669', '671', 'O', 'O', '671', '791']
['02168', '272', '272', '272', '272', '272', 'O', 'O']
['02100', '682', '707', '707', '650', 'O', 'O', 'O']
['02170', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02101', '411', '389', '487', 'O', '398', '470', '345']
['02171', '52', '50', '173', '170', '82', '76', 'O']
['02102', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02172', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02103', 'O', 'Oz', '572', '671', '785', 'Oz', 'Oz']
['02173', '794', '692', 'O', 'O', '669', '648', '672']
['02109', '649', 'O', '679', '694', '677', 'O', 'O']
['02176', '567', 'O', 'O', '409', '439', '505', '505']
['02110', 'O', '346', '495', '382', '489', 'O', 'O']
['02178', '95', '142', 'Oz', '44', '142', '190', '73']
['02114', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02182', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
