['00641', 'Oz', 'Oz', 'I-PD', 'I-PD', 'I-PD', 'Oz', 'Oz']
['02161', 'Oz', 'Oz', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['00671', 'O', 'O', '647', '680', '711', 'O', 'O']
['02162', '869', '648', '641', '785', '640', '673', 'O']
['00682', 'O', 'O', '95', '95', '95', 'O', 'O']
['02163', 'O', '775', '671', '643', 'O', '790', '692']
['00817', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02165', '646', 'O', '693', '703', '743', 'O', '695']
['00828', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02166', 'Oz', '435', '381', '390', '567', 'O', '345']
['00860', '206', '190', '109', '109', '109', 'O', '265']
['02167', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['00900', 'Oz', 'O', '98', '98', 'O', 'O', '91']
['02170', 'O', '74', '101', '265', '194', 'O', '170']
['01085', '347', 'O', '45', '97', '48', 'Oz', 'Oz']
['02171', '265', '206', '96', 'O', '98', '178', '76']
['01916', '675', '806', '649', 'O', 'O', '672', '791']
['02172', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02100', '391', 'Oz', '471', '446', '442', '345', 'O']
['02173', 'O', 'O', '642', '693', '641', '671', '646']
['02101', '370', '492', '350', '408', '345', 'O', 'O']
['02176', 'O', '644', '787', '740', '693', '869', 'Oz']
['02102', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02178', '185', '69', 'O', '71', '265', 'O', '46']
['02103', 'I-BO', 'I-BO', '178', '110', '73', '92', 'O']
['02182', 'O', 'O', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02109', '669', 'O', '669', '701', '677', '689', '786']
['02183', 'O', '394', '570', '345', '496', '493', '491']
['02110', '95', 'Oz', 'Oz', 'Oz', '489', '567', '389']
['02186', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02114', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02188', '640', 'Oz', 'Oz', '694', '642', '694', '648']
['02116', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02191', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02117', '695', 'O', 'O', '650', '679', '787', 'O']
['02192', '786', '774', '643', '708', '644', 'O', '690']
['02118', '790', '676', 'O', '870', '674', 'O', '777']
['02193', 'O', 'O', '351', '369', '390', '472', '371']
['02119', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02196', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', '48']
['02121', 'O', '773', '640', '679', '742', '774', '789']
['02197', '693', 'O', '644', '682', '746', '644', '691']
['02122', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02199', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02126', '641', '374', '370', '381', '471', 'O', 'O']
['02201', '914', '912', '870', '698', '703', 'O', '912']
['02130', 'Oz', '371', '474', '441', '370', 'O', '476']
['02202', '271', '96', 'Oz', '73', '196', '50', '176']
['02132', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02203', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02134', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02204', '475', '376', '411', '485', 'I-DK', 'Oz', 'Oz']
['02138', 'O', '505', '505', 'I-PD', 'I-PD', 'O', '505']
['02207', 'Oz', 'Oz', '194', '194', 'Oz', 'O', 'O']
['02141', 'Og', 'Og', 'I-GO', '567', '347', '389', '490']
['02208', 'Oz', '185', 'Oz', 'Oz', 'Oz', '40', '74']
['02143', 'Oz', '736', '692', '641', '669', '645', '736']
['02210', '89', '89', '69', 'I-PD', 'I-PD', 'Oz', 'Oz']
['02149', 'O', '789', '711', 'O', '485', '771', '488']
['02211', '775', '786', '674', '647', '372', 'O', 'Oz']
['02151', '470', '474', 'O', '491', '369', '476', '474']
['02212', 'Og', 'Og', 'I-GO', 'I-GO', '110', '174', '188']
['02154', '774', 'O', 'Oz', '772', '772', '777', '774']
['02213', 'O', 'O', '345', '340', '371', 'O', '391']
['02157', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02215', 'O', 'O', '383', '674', '647', '675', '790']
['02158', 'Oz', '95', '142', '111', '103', '188', 'O']
['02217', '371', '476', '378', 'Oz', '441', '342', '787']
['02159', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02218', '46', '46', '146', '46', '76', 'O', 'Oz']
['02219', '172', 'O', '73', '146', '47', '186', 'O']
['02383', '341', 'O', '270', '83', '72', '42', 'Oz']
['02222', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02388', '805', '805', '805', 'O', '805', '805', '805']
['02223', '785', '646', '677', '746', '692', 'O', '675']
['02391', 'O', 'O', '409', '505', '505', '505', '492']
['02224', '648', 'O', '772', '709', '650', '697', 'Oz']
['02396', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02225', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02403', 'Oz', '485', '401', '401', 'I-GO', 'Oz', 'Oz']
['02226', 'Oz', '138', '400', '342', '487', '346', 'O']
['02405', '176', '487', '191', 'O', '50', '270', 'O']
['02230', '177', '271', 'O', 'O', 'O', '47', '138']
['02406', '392', '392', '398', 'O', '398', '392', 'O']
['02231', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02407', '72', '77', 'O', '190', '49', 'O', '175']
['02232', '93', 'O', '177', '196', '80', '193', 'O']
['02411', '670', '692', 'O', 'O', '775', '692', '647']
['02233', 'Oz', '691', '694', '743', '787', 'O', '640']
['02414', 'O', 'O', '193', '191', '40', '194', 'O']
['02235', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02426', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02237', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02429', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02241', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02434', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02244', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02437', '178', 'O', '47', '51', '71', 'O', 'O']
['02246', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02441', 'Oz', 'Oz', '206', '206', '206', '206', '206']
['02247', 'Oz', '91', '188', 'O', '193', '96', 'O']
['02449', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02248', '44', '172', '170', '96', '77', 'O', 'O']
['02450', '205', '205', '205', '205', '205', 'Oz', 'Oz']
['02249', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02455', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['02250', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02457', 'Oz', 'Oz', '107', '101', '100', '76', '191']
['02252', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02462', '691', 'O', '679', '805', 'O', '806', '806']
['02253', 'O', '40', '102', '100', '144', 'Oz', '44']
['02466', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02322', 'I-BO', 'I-BO', 'I-BO', 'O', '108', '265', 'O']
['02470', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02326', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02472', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02328', '505', '488', '440', '341', '374', '485', 'O']
['02473', '770', 'O', 'O', '786', '682', '785', '669']
['02329', 'I-BO', 'I-BO', 'I-BO', 'O', '350', '489', 'O']
['02477', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02334', 'O', '787', '490', '402', '477', '441', 'Oz']
['02484', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02335', '567', '391', '493', 'O', 'O', 'O', '344']
['02486', 'O', '393', '404', '404', '404', '393', '393']
['02337', '806', '869', 'O', '707', '694', '913', '913']
['02488', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02350', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02490', 'O', 'O', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02354', '48', 'O', '141', '107', '90', 'O', 'O']
['02493', '192', '48', '265', 'Oz', '43', '94', 'O']
['02363', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02494', '390', '390', '394', '394', '396', 'O', 'O']
['02367', 'O', '506', '506', '506', '506', '506', '506']
['02497', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02368', 'O', 'O', '652', '711', '649', 'O', '792']
['02500', 'O', 'O', '143', '143', '143', 'O', 'O']
['02371', 'Oz', 'O', '103', '104', '93', '205', '205']
['02507', '374', '490', '407', '475', 'O', 'O', '485']
['02380', 'O', '93', '173', '189', 'O', 'O', 'O']
