['00641', '379', '379', '379', '379', '379', '375', 'O']
['02158', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['00671', '707', '697', '644', '689', '785', 'O', 'O']
['02159', '42', 'O', 'O', '101', '75', '44', 'O']
['00682', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02161', 'I-GO', 'I-GO', '92', '89', '73', '77', '69']
['00817', 'I-BO', 'I-BO', 'I-BO', '485', '489', '396', 'O']
['02162', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['00828', '643', '671', 'O', 'Oz', '680', '689', '777']
['02163', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['00860', '109', '109', '109', '109', '109', '92', 'O']
['02165', '141', '141', '141', '141', '141', 'O', 'O']
['00900', 'O', '139', '139', '139', '47', '189', 'O']
['02166', '650', 'O', '698', '650', '674', 'O', 'O']
['01085', '83', '78', '93', '192', '171', 'O', 'O']
['02167', 'I-BP', 'I-BP', '572', '348', '372', '399', 'O']
['01916', '696', '739', 'O', 'O', '707', '677', '670']
['02168', '272', '272', '272', '272', '272', 'O', 'O']
['02100', '350', '490', '344', '474', 'O', '669', '773']
['02170', '143', '43', 'O', '71', '104', 'O', 'O']
['02101', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02171', '41', '104', '265', '43', '50', 'O', 'O']
['02102', 'O', '107', '107', '107', '107', 'O', 'O']
['02172', '270', '51', '196', '70', 'Oz', 'Oz', 'Oz']
['02103', 'O', '642', '707', '772', '471', '674', '689']
['02173', '708', '793', '677', 'O', 'O', '776', '772']
['02109', '647', '707', 'O', '383', '696', '774', '669']
['02176', '485', '442', '439', 'Oz', '409', '489', '492']
['02110', 'O', '396', '374', '475', '342', '505', '389']
['02178', '50', '103', '143', '42', '101', 'O', 'O']
['02114', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02182', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02116', '694', 'O', 'O', '680', '770', '696', '676']
['02183', '475', '351', '395', '572', '383', 'O', 'O']
['02117', '742', 'O', '649', '640', '791', 'O', 'O']
['02186', '913', '912', '874', '912', '874', 'O', '912']
['02118', '671', '674', '912', 'O', 'O', '806', '690']
['02188', '642', '694', '708', 'Oz', 'O', '778', '775']
['02119', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02191', '176', '72', '83', '81', '178', 'O', 'O']
['02120', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02192', '378', 'O', '785', '669', '788', 'Oz', '694']
['02121', '640', '689', 'O', 'O', '646', '773', '697']
['02193', 'O', '375', '393', '375', '410', 'O', 'O']
['02122', '572', 'O', '351', '351', '378', 'O', 'O']
['02195', '102', '102', '102', '102', '102', 'O', 'O']
['02126', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02196', '196', '196', '105', '175', '76', 'O', 'O']
['02130', '410', '378', 'O', 'O', '370', '475', '572']
['02197', '646', '711', '709', '698', '694', 'Oz', 'O']
['02132', 'I-GO', '343', '340', '489', '347', '491', '343']
['02199', '912', '874', 'O', '913', '913', '874', 'O']
['02134', '411', 'O', '382', '470', '78', 'O', 'O']
['02201', '874', '913', 'O', 'O', 'O', '913', '913']
['02138', '407', '407', '407', '407', '407', 'O', 'O']
['02202', 'O', 'O', '72', '270', '190', '172', 'O']
['02141', '439', 'O', '346', '389', '491', '344', '488']
['02203', '265', '105', '44', '77', '71', '476', 'O']
