['00641', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02158', 'O', '89', '91', '111', '76', 'O', '']
['00671', 'O', '644', '788', '692', '679', '646', '']
['02159', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['00682', 'O', '100', '100', '100', '100', 'O', '']
['02161', '46', '94', '170', '69', '74', 'O', '']
['00817', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02162', '791', '694', '644', '776', '696', '693', '']
['00828', 'O', '778', '791', '652', '692', 'O', '']
['02163', 'O', 'Oz', '739', '709', '870', '671', '']
['00860', '94', '109', '109', '109', '69', 'O', '']
['02165', 'O', '141', '141', '141', '141', 'O', '']
['00900', '92', '96', '96', '143', '90', '100', '']
['02166', 'Oz', 'Oz', '642', '643', '642', '700', '']
['01085', 'O', '70', '489', '83', '93', '99', '']
['02167', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['01916', 'O', 'O', '669', '788', 'O', '792', '']
['02168', 'O', '272', '272', '272', '272', 'O', '']
['02100', '774', 'O', '351', '770', '794', '645', '']
['02170', '43', '92', '107', 'Oz', '176', '50', '']
['02101', '435', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02171', '77', '170', '42', '42', '91', 'Oz', '']
['02102', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02172', '96', 'Oz', 'Oz', '93', 'Oz', '141', '']
['02103', 'O', '770', '702', '679', '697', '690', '']
['02173', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02109', '670', '788', '692', '696', '698', '696', '']
['02176', 'Og', 'I-GO', '567', '408', '485', '491', '']
['02110', 'Oz', 'Oz', 'Oz', '407', '411', '487', '']
['02178', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02114', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02182', 'O', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', '']
['02116', '869', '772', 'O', '677', '788', '694', '']
['02183', '641', 'O', '383', '375', '496', '350', '']
['02117', 'O', 'O', '647', '646', '646', '806', '']
['02186', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02118', '775', 'I-DK', 'I-DK', 'Oz', '650', '678', '']
['02188', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02119', '265', '139', '142', '187', '52', 'O', '']
['02191', '736', 'Oz', 'O', '647', '671', '778', '']
['02120', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', '']
['02192', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', '']
['02121', '669', '692', '679', 'O', 'O', '672', '']
['02193', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02122', 'Oz', 'Oz', 'Oz', '351', '375', '441', '']
['02195', 'O', 'I-DK', 'I-DK', '102', '102', 'O', '']
['02126', 'O', '378', '370', 'O', '471', '395', '']
['02196', 'O', '43', '77', '74', '99', '74', '']
['02130', 'O', '383', '372', '372', '348', 'O', '']
['02197', '696', '698', '742', 'O', '669', '777', '']
['02132', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02199', '913', '776', 'O', '649', '775', '912', '']
['02134', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02201', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', '913', '']
['02138', '567', '407', '407', 'O', 'O', '485', '']
['02202', '487', 'Oz', '81', '80', '177', '188', '']
['02141', 'O', '408', '472', '411', '409', '471', '']
