['Ponedjeljak, 26.12.2022.', 'Og']
['Utorak, 27.12.2022.', 'I-GO']
['Srijeda, 28.12.2022.', 'broj sluzbe: 267', 'vozni red: PRIČUVA', '04:30, PTD', '12:00, PTD', 'ANON\nXXX-XXX-XXXX']
['Srijeda, 28.12.2022.', 'broj sluzbe: 567', 'vozni red: PRIČUVA', '11:30, PTD', '19:00, PTD', 'TOMISLAV ŽUŽIĆ\n098-844-877']
['Srijeda, 28.12.2022.', 'broj sluzbe: 867', 'vozni red: PRIČUVA', '16:30, PTD', '00:00, PTD', 'ANON\nXXX-XXX-XXXX']
['Cetvrtak, 29.12.2022.', 'broj sluzbe: 108', 'vozni red: 08.02', '04:11, PTD', '11:06, Draškovićeva smjer Mihaljevac', 'ZDENKA KOZIĆ\n091-527-9727']
['Cetvrtak, 29.12.2022.', 'broj sluzbe: 408', 'vozni red: 08.02', '11:06, Draškovićeva smjer Zapruđe', '17:46, Draškovićeva smjer Mihaljevac', 'TOMISLAV ŽUŽIĆ\n098-844-877']
['Cetvrtak, 29.12.2022.', 'broj sluzbe: 708', 'vozni red: 08.02', '17:46, Draškovićeva smjer Mihaljevac', '00:34, PTD/PTT', 'MARIJAN STUBLIĆ\n091-761-7616']
['Petak, 30.12.2022.', 'broj sluzbe: 185', 'vozni red: 14.01', '03:52, PTD', '10:51, MIHALJEVAC', 'DARINKA GLANJAR\n098-953-4155']
['Petak, 30.12.2022.', 'broj sluzbe: 485', 'vozni red: 14.01', '10:51, MIHALJEVAC', '17:49, MIHALJEVAC', 'TOMISLAV ŽUŽIĆ\n098-844-877']
['Petak, 30.12.2022.', 'broj sluzbe: 785', 'vozni red: 14.01', '17:49, MIHALJEVAC', '00:28, PTD/PTT', 'MARKO RUKAVINA\n091-550-8716']
['Subota, 31.12.2022.', 'broj sluzbe: 191', 'vozni red: 14.07', '04:07, PTD', '10:41, Gupčeva zvije. smjer Mihaljevac', 'NIKOLINA ČOSIĆ\n091-507-4991']
['Subota, 31.12.2022.', 'broj sluzbe: 491', 'vozni red: 14.07', '10:41, Frankopanska smjer Sav. most', '17:39, Gupčeva zvije. smjer Mihaljevac', 'TOMISLAV ŽUŽIĆ\n098-844-877']
['Subota, 31.12.2022.', 'broj sluzbe: 791', 'vozni red: 14.07', '17:39, Gupčeva zvije. smjer Mihaljevac', '00:39, PTD/PTT', 'KREŠIMIR DRAGAŠ\n095-363-1211']
['Nedjelja, 1.1.2023.', 'empty']
